Phase,Tolerance_ms,F1_A,F1_B,Delta,A_low,A_high,B_low,B_high,Delta_low,Delta_high
P,50,0.741405082212257,0.739520958083832,0.00188412412842476,0.696440525644905,0.788773390587907,0.691900205841497,0.783903726211419,-0.0267872580292305,0.0318360649926278
P,100,0.881913303437967,0.865269461077844,0.0166438423601228,0.844544997486174,0.915680162510507,0.826446654202906,0.899408284023669,-0.00297401879491432,0.0368007022439523
P,200,0.935724962630792,0.940119760479042,-0.0043947978482497,0.909090909090909,0.960535131897145,0.913690476190476,0.964179104477612,-0.020818100042182,0.0118343195266272
S,50,0.447447447447447,0.178963893249608,0.26848355419784,0.396382767033297,0.501524404413337,0.139020537124803,0.22048466767741,0.210115040800579,0.326913640521741
S,100,0.57957957957958,0.335949764521193,0.243629815058387,0.528529557649817,0.632124182003866,0.28504306580932,0.389061416615397,0.18038736737503,0.304131713197476
S,200,0.708708708708709,0.467817896389325,0.240890812319384,0.658628444222338,0.756838905775076,0.413571160110248,0.524615617662652,0.18055414114411,0.299254131429444
