Phase,Tolerance_ms,F1_A,F1_B,Delta,A_low,A_high,B_low,B_high,Delta_low,Delta_high
P,50,0.716417910447761,0.949101796407186,-0.232683885959424,0.66870267447499,0.762962442715924,0.925373134328358,0.971935007385524,-0.284521401852945,-0.183762278632833
P,100,0.862686567164179,0.973053892215569,-0.11036732505139,0.823089790632419,0.899408284023669,0.954578730200985,0.989280245022971,-0.150123014580846,-0.0729244585919684
P,200,0.925373134328358,0.982035928143713,-0.0566627938153543,0.895365984449012,0.951951951951952,0.966917218423243,0.99406528189911,-0.086277772835992,-0.0288993116952962
S,50,0.42042042042042,0.410179640718563,0.0102407797018575,0.367988327492604,0.473689209726444,0.359766160085425,0.46004551437942,-0.0380662134631484,0.0595866760951937
S,100,0.582582582582583,0.610778443113772,-0.0281958605311899,0.53019145802651,0.636430951499445,0.554323172730252,0.660740623683101,-0.0768096210574087,0.0213443576274455
S,200,0.708708708708709,0.751497005988024,-0.0427882972793152,0.660169300733937,0.75764296073529,0.703760153409194,0.796420531893123,-0.0856501672152847,0.000763409169590168
