Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,330,330,317,219,111,111,0.663636363636364,0.663636363636364,0.663636363636364,1,440.515151515152,29.9999999999998,2848.51290282768,0.0333333333333333
P,100,330,330,317,260,70,70,0.787878787878788,0.787878787878788,0.787878787878788,1,440.515151515152,29.9999999999998,2848.51290282768,0.0333333333333333
P,200,330,330,317,281,49,49,0.851515151515152,0.851515151515152,0.851515151515152,1,440.515151515152,29.9999999999998,2848.51290282768,0.0333333333333333
S,50,330,330,121,1,329,329,0.00303030303030303,0.00303030303030303,0.00303030303030303,1,5043.48484848485,4480,6069.15262918668,0.942424242424242
S,100,330,330,121,1,329,329,0.00303030303030303,0.00303030303030303,0.00303030303030303,1,5043.48484848485,4480,6069.15262918668,0.942424242424242
S,200,330,330,121,2,328,328,0.00606060606060606,0.00606060606060606,0.00606060606060606,1,5043.48484848485,4480,6069.15262918668,0.942424242424242
