Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,334,334,318,16,17,0.952095808383233,0.949253731343284,0.95067264573991,0.997014925373134,22.3353293413173,0,101.995068566946,0.00898203592814371
P,100,335,334,334,323,11,12,0.967065868263473,0.964179104477612,0.965620328849028,0.997014925373134,22.3353293413173,0,101.995068566946,0.00898203592814371
P,200,335,334,334,330,4,5,0.988023952095808,0.985074626865672,0.986547085201794,0.997014925373134,22.3353293413173,0,101.995068566946,0.00898203592814371
S,50,335,334,333,151,183,184,0.452095808383234,0.450746268656716,0.451420029895366,0.997014925373134,220.898203592814,65.0000000000004,923.18635924293,0.0119760479041916
S,100,335,334,333,209,125,126,0.625748502994012,0.623880597014925,0.624813153961136,0.997014925373134,220.898203592814,65.0000000000004,923.18635924293,0.0119760479041916
S,200,335,334,333,265,69,70,0.793413173652695,0.791044776119403,0.792227204783259,0.997014925373134,220.898203592814,65.0000000000004,923.18635924293,0.0119760479041916
