Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,334,332,312,22,23,0.934131736526946,0.93134328358209,0.932735426008969,0.997014925373134,27.8742514970059,9.99999999999979,109.316055545377,0.0029940119760479
P,100,335,334,332,321,13,14,0.961077844311377,0.958208955223881,0.959641255605381,0.997014925373134,27.8742514970059,9.99999999999979,109.316055545377,0.0029940119760479
P,200,335,334,332,328,6,7,0.982035928143713,0.97910447761194,0.980568011958146,0.997014925373134,27.8742514970059,9.99999999999979,109.316055545377,0.0029940119760479
S,50,335,335,334,78,257,257,0.232835820895522,0.232835820895522,0.232835820895522,1,560.059701492537,160,1820.116118979,0.0746268656716418
S,100,335,335,334,127,208,208,0.37910447761194,0.37910447761194,0.37910447761194,1,560.059701492537,160,1820.116118979,0.0746268656716418
S,200,335,335,334,189,146,146,0.564179104477612,0.564179104477612,0.564179104477612,1,560.059701492537,160,1820.116118979,0.0746268656716418
