Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,335,335,120,215,215,0.358208955223881,0.358208955223881,0.358208955223881,1,902.925373134328,279.999999999999,1833.29423748454,0.211940298507463
P,100,335,335,335,139,196,196,0.414925373134328,0.414925373134328,0.414925373134328,1,902.925373134328,279.999999999999,1833.29423748454,0.211940298507463
P,200,335,335,335,156,179,179,0.465671641791045,0.465671641791045,0.465671641791045,1,902.925373134328,279.999999999999,1833.29423748454,0.211940298507463
S,50,335,310,310,0,310,335,0,0,0,0.925373134328358,5466.06451612903,4880,6308.52357350112,0.983870967741935
S,100,335,310,310,1,309,334,0.0032258064516129,0.00298507462686567,0.00310077519379845,0.925373134328358,5466.06451612903,4880,6308.52357350112,0.983870967741935
S,200,335,310,310,1,309,334,0.0032258064516129,0.00298507462686567,0.00310077519379845,0.925373134328358,5466.06451612903,4880,6308.52357350112,0.983870967741935
