Method,Mode,Policy,Phase,Tolerance_ms,mean_F1,SD_F1,mean_MAE_ms,SD_MAE_ms,mean_AcceptedCoverage,SD_AcceptedCoverage,mean_MedAE_ms,SD_MedAE_ms,mean_RMSE_ms,SD_RMSE_ms,mean_OutlierRate1s,SD_OutlierRate1s
Stack,Full3C,accepted,P,50,0.6935168248726733,0.014013151036601968,166.6244186727153,32.318983873119635,0.9905723905723907,0.0015429547794464206,29.999999999999584,1.2717193232616635e-13,1015.1252460168821,317.88968821007364,0.012903038899885925,0.0011637478642093112
Stack,Full3C,accepted,P,100,0.8268024813560109,0.006942314904482195,166.6244186727153,32.318983873119635,0.9905723905723907,0.0015429547794464206,29.999999999999584,1.2717193232616635e-13,1015.1252460168821,317.88968821007364,0.012903038899885925,0.0011637478642093112
Stack,Full3C,accepted,P,200,0.9063002580491551,0.00035002493003127513,166.6244186727153,32.318983873119635,0.9905723905723907,0.0015429547794464206,29.999999999999584,1.2717193232616635e-13,1015.1252460168821,317.88968821007364,0.012903038899885925,0.0011637478642093112
Stack,Full3C,accepted,S,50,0.37610536507264464,0.016026403382279744,610.2932352651821,49.96569401126749,0.9801346801346801,0.005563202573016301,82.77777777777798,5.357583756107204,2059.6507309243407,246.04592156348642,0.07864498405297603,0.007974250604963862
Stack,Full3C,accepted,S,100,0.5536385548344082,0.012659033460239073,610.2932352651821,49.96569401126749,0.9801346801346801,0.005563202573016301,82.77777777777798,5.357583756107204,2059.6507309243407,246.04592156348642,0.07864498405297603,0.007974250604963862
Stack,Full3C,accepted,S,200,0.6849032374111733,0.011632158015192474,610.2932352651821,49.96569401126749,0.9801346801346801,0.005563202573016301,82.77777777777798,5.357583756107204,2059.6507309243407,246.04592156348642,0.07864498405297603,0.007974250604963862
Stack,Full3C,strict,P,50,0.6968567040678728,0.013448059252418428,118.99598940655007,14.025446653543975,0.978114478114478,0.002102692928753683,29.99999999999941,8.614872834998366e-14,593.096895732879,102.23520970084768,0.011360594249316614,0.0017950124613574235
Stack,Full3C,strict,P,100,0.8306437210611382,0.005851924608008049,118.99598940655007,14.025446653543975,0.978114478114478,0.002102692928753683,29.99999999999941,8.614872834998366e-14,593.096895732879,102.23520970084768,0.011360594249316614,0.0017950124613574235
Stack,Full3C,strict,P,200,0.9089402487217715,0.0008656109462432546,118.99598940655007,14.025446653543975,0.978114478114478,0.002102692928753683,29.99999999999941,8.614872834998366e-14,593.096895732879,102.23520970084768,0.011360594249316614,0.0017950124613574235
Stack,Full3C,strict,S,50,0.379679514517022,0.014242919850624062,498.16094399109846,25.199848950244046,0.9457912457912458,0.007714773897232043,78.33333333333364,4.4095855184411175,1688.3847286568403,107.15549011271169,0.06659166303328715,0.007866657934336285
Stack,Full3C,strict,S,100,0.5565362947771029,0.010364819796482303,498.16094399109846,25.199848950244046,0.9457912457912458,0.007714773897232043,78.33333333333364,4.4095855184411175,1688.3847286568403,107.15549011271169,0.06659166303328715,0.007866657934336285
Stack,Full3C,strict,S,200,0.686291651868573,0.009651144146469335,498.16094399109846,25.199848950244046,0.9457912457912458,0.007714773897232043,78.33333333333364,4.4095855184411175,1688.3847286568403,107.15549011271169,0.06659166303328715,0.007866657934336285
Stack,Zonly,accepted,P,50,0.6943025069049712,0.015891343108977652,178.3012908122193,28.57013031486391,0.9902356902356902,0.002102692928753683,29.999999999999954,2.9665336498576163e-13,1048.7244023524208,259.6049537894337,0.015282714502221743,0.0020060105117604343
Stack,Zonly,accepted,P,100,0.8133945291974217,0.007298712166757752,178.3012908122193,28.57013031486391,0.9902356902356902,0.002102692928753683,29.999999999999954,2.9665336498576163e-13,1048.7244023524208,259.6049537894337,0.015282714502221743,0.0020060105117604343
Stack,Zonly,accepted,P,200,0.9040763926852577,0.006747386890371352,178.3012908122193,28.57013031486391,0.9902356902356902,0.002102692928753683,29.999999999999954,2.9665336498576163e-13,1048.7244023524208,259.6049537894337,0.015282714502221743,0.0020060105117604343
Stack,Zonly,accepted,S,50,0.15493850921479452,0.016449038993389797,1172.9412204155929,163.52741999777902,0.9205387205387205,0.023041228432223042,253.8888888888891,8.552669065744723,2650.3206022131126,399.3173036789,0.208571469831419,0.025010791216754844
Stack,Zonly,accepted,S,100,0.26861536601170466,0.015246310948536701,1172.9412204155929,163.52741999777902,0.9205387205387205,0.023041228432223042,253.8888888888891,8.552669065744723,2650.3206022131126,399.3173036789,0.208571469831419,0.025010791216754844
Stack,Zonly,accepted,S,200,0.4237425157249919,0.01653427936339273,1172.9412204155929,163.52741999777902,0.9205387205387205,0.023041228432223042,253.8888888888891,8.552669065744723,2650.3206022131126,399.3173036789,0.208571469831419,0.025010791216754844
Stack,Zonly,strict,P,50,0.6952964140015072,0.017996280347253316,151.85540901290585,28.47634307550291,0.9777777777777777,0.003641970985317184,29.999999999999954,2.9665336498576163e-13,857.7072106972438,286.76630937222575,0.013415511499013036,0.0009839575458175437
Stack,Zonly,strict,P,100,0.8141035093300091,0.009722373357285841,151.85540901290585,28.47634307550291,0.9777777777777777,0.003641970985317184,29.999999999999954,2.9665336498576163e-13,857.7072106972438,286.76630937222575,0.013415511499013036,0.0009839575458175437
Stack,Zonly,strict,P,200,0.901940512622518,0.007502910787690813,151.85540901290585,28.47634307550291,0.9777777777777777,0.003641970985317184,29.999999999999954,2.9665336498576163e-13,857.7072106972438,286.76630937222575,0.013415511499013036,0.0009839575458175437
Stack,Zonly,strict,S,50,0.14524239523831,0.013096970844833944,1009.6203506003378,220.60591546887835,0.7080808080808081,0.0582365062844427,208.8888888888885,9.47706783846246,2465.656624991005,631.7834425168215,0.17281165928326417,0.020609557702075253
Stack,Zonly,strict,S,100,0.25713497953392894,0.011203058705736665,1009.6203506003378,220.60591546887835,0.7080808080808081,0.0582365062844427,208.8888888888885,9.47706783846246,2465.656624991005,631.7834425168215,0.17281165928326417,0.020609557702075253
Stack,Zonly,strict,S,200,0.4044103517486728,0.022469897288769795,1009.6203506003378,220.60591546887835,0.7080808080808081,0.0582365062844427,208.8888888888885,9.47706783846246,2465.656624991005,631.7834425168215,0.17281165928326417,0.020609557702075253
PhaseNetMatched,Full3C,accepted,P,50,0.9752410294140188,0.002299417530608998,34.46866844739169,6.3927101098464645,0.998989898989899,0.0017495462702716044,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,0.0030333732461392034,5.317769818454685e-06
PhaseNetMatched,Full3C,accepted,P,100,0.9833249030517619,0.001515221872468874,34.46866844739169,6.3927101098464645,0.998989898989899,0.0017495462702716044,6.666666666666525,5.773502691896135,299.90537215558993,57.009260980928005,0.0030333732461392034,5.317769818454685e-06
