Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,330,329,329,324,5,6,0.984802431610942,0.981818181818182,0.983308042488619,0.996969696969697,18.5106382978722,0,128.927066397433,0.00303951367781155
P,100,330,329,329,326,3,4,0.990881458966565,0.987878787878788,0.98937784522003,0.996969696969697,18.5106382978722,0,128.927066397433,0.00303951367781155
P,200,330,329,329,326,3,4,0.990881458966565,0.987878787878788,0.98937784522003,0.996969696969697,18.5106382978722,0,128.927066397433,0.00303951367781155
S,50,330,325,325,50,275,280,0.153846153846154,0.151515151515152,0.152671755725191,0.984848484848485,551.384615384615,199.999999999999,1622.71206981968,0.0861538461538462
S,100,330,325,325,97,228,233,0.298461538461538,0.293939393939394,0.29618320610687,0.984848484848485,551.384615384615,199.999999999999,1622.71206981968,0.0861538461538462
S,200,330,325,325,165,160,165,0.507692307692308,0.5,0.50381679389313,0.984848484848485,551.384615384615,199.999999999999,1622.71206981968,0.0861538461538462
