Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,330,330,316,222,108,108,0.672727272727273,0.672727272727273,0.672727272727273,1,439.121212121212,30.0000000000002,2848.46609439345,0.0333333333333333
P,100,330,330,316,259,71,71,0.784848484848485,0.784848484848485,0.784848484848485,1,439.121212121212,30.0000000000002,2848.46609439345,0.0333333333333333
P,200,330,330,316,284,46,46,0.860606060606061,0.860606060606061,0.860606060606061,1,439.121212121212,30.0000000000002,2848.46609439345,0.0333333333333333
S,50,330,330,139,0,330,330,0,0,0,1,5217.9696969697,4865,6022.91958297887,0.966666666666667
S,100,330,330,139,0,330,330,0,0,0,1,5217.9696969697,4865,6022.91958297887,0.966666666666667
S,200,330,330,139,0,330,330,0,0,0,1,5217.9696969697,4865,6022.91958297887,0.966666666666667
