Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,330,323,311,226,97,104,0.69969040247678,0.684848484848485,0.69218989280245,0.978787878787879,129.628482972136,20,651.872511230404,0.0123839009287926
P,100,330,323,311,269,54,61,0.8328173374613,0.815151515151515,0.823889739663093,0.978787878787879,129.628482972136,20,651.872511230404,0.0123839009287926
P,200,330,323,311,294,29,36,0.910216718266254,0.890909090909091,0.900459418070444,0.978787878787879,129.628482972136,20,651.872511230404,0.0123839009287926
S,50,330,270,198,106,164,224,0.392592592592593,0.321212121212121,0.353333333333333,0.818181818181818,527.851851851852,80.0000000000001,1653.40277631941,0.0814814814814815
S,100,330,270,198,151,119,179,0.559259259259259,0.457575757575758,0.503333333333333,0.818181818181818,527.851851851852,80.0000000000001,1653.40277631941,0.0814814814814815
S,200,330,270,198,198,72,132,0.733333333333333,0.6,0.66,0.818181818181818,527.851851851852,80.0000000000001,1653.40277631941,0.0814814814814815
