Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,333,333,227,106,108,0.681681681681682,0.677611940298507,0.679640718562874,0.994029850746269,88.8288288288288,19.9999999999996,336.877554144657,0.00600600600600601
P,100,335,333,333,272,61,63,0.816816816816817,0.811940298507463,0.81437125748503,0.994029850746269,88.8288288288288,19.9999999999996,336.877554144657,0.00600600600600601
P,200,335,333,333,302,31,33,0.906906906906907,0.901492537313433,0.904191616766467,0.994029850746269,88.8288288288288,19.9999999999996,336.877554144657,0.00600600600600601
S,50,335,165,165,31,134,304,0.187878787878788,0.0925373134328358,0.124,0.492537313432836,4118.90909090909,4130,5502.64707649735,0.684848484848485
S,100,335,165,165,41,124,294,0.248484848484848,0.122388059701493,0.164,0.492537313432836,4118.90909090909,4130,5502.64707649735,0.684848484848485
S,200,335,165,165,44,121,291,0.266666666666667,0.13134328358209,0.176,0.492537313432836,4118.90909090909,4130,5502.64707649735,0.684848484848485
