Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,335,323,231,104,104,0.68955223880597,0.68955223880597,0.68955223880597,1,237.791044776119,19.9999999999996,2003.3646324986,0.0149253731343284
P,100,335,335,323,281,54,54,0.838805970149254,0.838805970149254,0.838805970149254,1,237.791044776119,19.9999999999996,2003.3646324986,0.0149253731343284
P,200,335,335,323,304,31,31,0.907462686567164,0.907462686567164,0.907462686567164,1,237.791044776119,19.9999999999996,2003.3646324986,0.0149253731343284
S,50,335,248,156,116,132,219,0.467741935483871,0.346268656716418,0.397941680960549,0.740298507462687,351.088709677419,60.0000000000005,1201.70057593127,0.0524193548387097
S,100,335,248,156,153,95,182,0.616935483870968,0.456716417910448,0.524871355060034,0.740298507462687,351.088709677419,60.0000000000005,1201.70057593127,0.0524193548387097
S,200,335,248,156,181,67,154,0.729838709677419,0.540298507462687,0.620926243567753,0.740298507462687,351.088709677419,60.0000000000005,1201.70057593127,0.0524193548387097
