Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,330,322,322,233,89,97,0.72360248447205,0.706060606060606,0.714723926380368,0.975757575757576,151.894409937888,30.0000000000002,788.493925663003,0.015527950310559
P,100,330,322,322,268,54,62,0.832298136645963,0.812121212121212,0.822085889570552,0.975757575757576,151.894409937888,30.0000000000002,788.493925663003,0.015527950310559
P,200,330,322,322,296,26,34,0.919254658385093,0.896969696969697,0.907975460122699,0.975757575757576,151.894409937888,30.0000000000002,788.493925663003,0.015527950310559
S,50,330,256,256,50,206,280,0.1953125,0.151515151515152,0.170648464163823,0.775757575757576,844.1015625,229.999999999999,2030.12112862139,0.1484375
S,100,330,256,256,77,179,253,0.30078125,0.233333333333333,0.262798634812287,0.775757575757576,844.1015625,229.999999999999,2030.12112862139,0.1484375
S,200,330,256,256,122,134,208,0.4765625,0.36969696969697,0.416382252559727,0.775757575757576,844.1015625,229.999999999999,2030.12112862139,0.1484375
