Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,331,331,248,83,87,0.749244712990937,0.740298507462687,0.744744744744745,0.988059701492537,66.6163141993957,19.9999999999996,293.829286400842,0.00302114803625378
P,100,335,331,331,293,38,42,0.885196374622356,0.874626865671642,0.87987987987988,0.988059701492537,66.6163141993957,19.9999999999996,293.829286400842,0.00302114803625378
P,200,335,331,331,309,22,26,0.933534743202417,0.922388059701493,0.927927927927928,0.988059701492537,66.6163141993957,19.9999999999996,293.829286400842,0.00302114803625378
S,50,335,249,249,65,184,270,0.261044176706827,0.194029850746269,0.222602739726027,0.743283582089552,490.803212851406,180,1303.89761714022,0.0763052208835341
S,100,335,249,249,98,151,237,0.393574297188755,0.292537313432836,0.335616438356164,0.743283582089552,490.803212851406,180,1303.89761714022,0.0763052208835341
S,200,335,249,249,136,113,199,0.546184738955823,0.405970149253731,0.465753424657534,0.743283582089552,490.803212851406,180,1303.89761714022,0.0763052208835341
