Phase,Tolerance_ms,F1_A,F1_B,Delta,A_low,A_high,B_low,B_high,Delta_low,Delta_high
P,50,0.672727272727273,0.712328767123288,-0.0396014943960149,0.603525939732836,0.738751391841279,0.649773413897281,0.772215006538748,-0.0818757812740483,-0.00306926404310426
P,100,0.812121212121212,0.821917808219178,-0.0097965960979659,0.756880991349076,0.860776403084095,0.769350587107597,0.868126122439701,-0.031247351204738,0.0110747945702483
P,200,0.896969696969697,0.910197869101979,-0.0132281721322817,0.857142857142857,0.931198770491803,0.87367707641196,0.940315488060541,-0.0378424662176841,0.00826138147566718
S,50,0.365853658536585,0.179012345679012,0.186841312857573,0.304023845007452,0.425411748274334,0.1367326930823,0.224248452696729,0.120677182539244,0.252757576720754
S,100,0.533536585365854,0.262345679012346,0.271190906353508,0.47086354042397,0.594677882813476,0.210358699296011,0.315713962093181,0.211983179195277,0.337481574452438
S,200,0.679878048780488,0.419753086419753,0.260124962360735,0.618181545491359,0.73791927962695,0.356599312072003,0.48402706962084,0.19759892881391,0.317651996386138
