Phase,Tolerance_ms,F1_A,F1_B,Delta,A_low,A_high,B_low,B_high,Delta_low,Delta_high
P,50,0.688073394495413,0.981818181818182,-0.293744787322769,0.621291333024508,0.75,0.964940216783998,0.994100294985251,-0.359474659999866,-0.230360595623793
P,100,0.81039755351682,0.987878787878788,-0.177481234361968,0.757960375359236,0.858224501057666,0.974436356375254,0.997150997150997,-0.22829341449725,-0.12935501594818
P,200,0.892966360856269,0.987878787878788,-0.0949124270225188,0.851735015772871,0.928571276787896,0.974477055587724,0.997084548104956,-0.134466901772266,-0.0600160156318927
S,50,0.157556270096463,0.151515151515152,0.00604111858131151,0.109908485856905,0.207158472228024,0.113848252861366,0.192615141294613,-0.0454637432173246,0.0593079853315179
S,100,0.279742765273312,0.293939393939394,-0.0141966286660821,0.215890402781716,0.340069274309369,0.239820735639722,0.347776610644258,-0.0714558916957026,0.0446583679208318
S,200,0.418006430868167,0.503030303030303,-0.0850238721621359,0.351793293718166,0.484949159367764,0.440625,0.565153074350399,-0.139154340878217,-0.0264374783538625
