Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,334,333,246,88,89,0.736526946107784,0.734328358208955,0.73542600896861,0.997014925373134,68.9520958083832,19.9999999999996,295.298995944768,0.0029940119760479
P,100,335,334,333,292,42,43,0.874251497005988,0.871641791044776,0.872944693572496,0.997014925373134,68.9520958083832,19.9999999999996,295.298995944768,0.0029940119760479
P,200,335,334,333,313,21,22,0.937125748502994,0.934328358208955,0.935724962630792,0.997014925373134,68.9520958083832,19.9999999999996,295.298995944768,0.0029940119760479
S,50,335,331,320,145,186,190,0.438066465256798,0.432835820895522,0.435435435435435,0.988059701492537,609.244712990937,70.0000000000003,2060.29886665493,0.0785498489425982
S,100,335,331,320,194,137,141,0.586102719033233,0.57910447761194,0.582582582582583,0.988059701492537,609.244712990937,70.0000000000003,2060.29886665493,0.0785498489425982
S,200,335,331,320,238,93,97,0.719033232628399,0.71044776119403,0.714714714714715,0.988059701492537,609.244712990937,70.0000000000003,2060.29886665493,0.0785498489425982
