Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,326,301,230,96,105,0.705521472392638,0.686567164179104,0.695915279878971,0.973134328358209,99.5705521472392,29.9999999999994,433.043162246095,0.00920245398773006
P,100,335,326,301,272,54,63,0.834355828220859,0.811940298507463,0.822995461422088,0.973134328358209,99.5705521472392,29.9999999999994,433.043162246095,0.00920245398773006
P,200,335,326,301,299,27,36,0.917177914110429,0.892537313432836,0.904689863842663,0.973134328358209,99.5705521472392,29.9999999999994,433.043162246095,0.00920245398773006
S,50,335,141,24,36,105,299,0.25531914893617,0.107462686567164,0.151260504201681,0.42089552238806,890.992907801418,150,2512.86124392209,0.120567375886525
S,100,335,141,24,59,82,276,0.418439716312057,0.176119402985075,0.247899159663866,0.42089552238806,890.992907801418,150,2512.86124392209,0.120567375886525
S,200,335,141,24,83,58,252,0.588652482269504,0.247761194029851,0.348739495798319,0.42089552238806,890.992907801418,150,2512.86124392209,0.120567375886525
