Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,3,3,3,2,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,83.3333333333333,0,144.337567297406,0
P,100,3,3,3,2,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,83.3333333333333,0,144.337567297406,0
P,200,3,3,3,2,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,83.3333333333333,0,144.337567297406,0
S,50,3,2,2,0,2,3,0,0,0,0.666666666666667,529.999999999999,529.999999999999,652.150289427215,0
S,100,3,2,2,0,2,3,0,0,0,0.666666666666667,529.999999999999,529.999999999999,652.150289427215,0
S,200,3,2,2,1,1,2,0.5,0.333333333333333,0.4,0.666666666666667,529.999999999999,529.999999999999,652.150289427215,0
