Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,3,3,3,2,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,89.9999999999998,9.99999999999979,144.56832294801,0
P,100,3,3,3,2,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,89.9999999999998,9.99999999999979,144.56832294801,0
P,200,3,3,3,2,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,89.9999999999998,9.99999999999979,144.56832294801,0
S,50,3,2,2,0,2,3,0,0,0,0.666666666666667,660,660,720.902212508743,0
S,100,3,2,2,0,2,3,0,0,0,0.666666666666667,660,660,720.902212508743,0
S,200,3,2,2,0,2,3,0,0,0,0.666666666666667,660,660,720.902212508743,0
