Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,330,329,329,322,7,8,0.978723404255319,0.975757575757576,0.977238239757208,0.996969696969697,33.981762917933,9.99999999999979,261.795298115725,0.00303951367781155
P,100,330,329,329,324,5,6,0.984802431610942,0.981818181818182,0.983308042488619,0.996969696969697,33.981762917933,9.99999999999979,261.795298115725,0.00303951367781155
P,200,330,329,329,325,4,5,0.987841945288754,0.984848484848485,0.986342943854325,0.996969696969697,33.981762917933,9.99999999999979,261.795298115725,0.00303951367781155
S,50,330,329,326,118,211,212,0.358662613981763,0.357575757575758,0.358118361153263,0.996969696969697,166.808510638298,89.9999999999999,264.694582272661,0.0060790273556231
S,100,330,329,326,184,145,146,0.559270516717325,0.557575757575758,0.558421851289833,0.996969696969697,166.808510638298,89.9999999999999,264.694582272661,0.0060790273556231
S,200,330,329,326,235,94,95,0.714285714285714,0.712121212121212,0.713201820940819,0.996969696969697,166.808510638298,89.9999999999999,264.694582272661,0.0060790273556231
