subset,base_seed,meta_seed,Full3C_F1,Zonly_F1,Delta
all_test,42,42,0.5552147239263804,0.27906976744186046,0.2761449564845199
all_test,42,43,0.5353846153846153,0.2797427652733119,0.25564185011130347
all_test,42,44,0.5460122699386503,0.28664495114006516,0.2593673187985851
all_test,43,42,0.5688073394495413,0.25736434108527134,0.31144299836427
all_test,43,43,0.5657492354740061,0.24761904761904763,0.3181301878549585
all_test,43,44,0.5701219512195121,0.2508038585209003,0.31931809269861183
all_test,44,42,0.5487804878048781,0.290625,0.25815548780487807
all_test,44,43,0.5591397849462365,0.26332288401253917,0.29581690093369734
all_test,44,44,0.5335365853658537,0.2623456790123457,0.271190906353508
manual_both,42,42,0.5492957746478874,0.29537366548042704,0.25392210916746033
manual_both,42,43,0.5291005291005291,0.28884826325411334,0.24025226584641574
manual_both,42,44,0.5422535211267606,0.2899628252788104,0.2522906958479502
manual_both,43,42,0.562390158172232,0.2704626334519573,0.2919275247202747
manual_both,43,43,0.562390158172232,0.2545454545454545,0.3078447036267775
manual_both,43,44,0.5649122807017544,0.25735294117647056,0.3075593395252838
manual_both,44,42,0.5394045534150613,0.2974910394265233,0.24191351398853805
manual_both,44,43,0.5502645502645502,0.2733812949640288,0.27688325530052144
manual_both,44,44,0.527972027972028,0.26595744680851063,0.2620145811635174
includes_nonmanual,42,42,0.5952380952380952,0.1686746987951807,0.4265633964429145
includes_nonmanual,42,43,0.5783132530120482,0.21333333333333335,0.3649799196787148
includes_nonmanual,42,44,0.5714285714285714,0.2631578947368421,0.3082706766917293
includes_nonmanual,43,42,0.611764705882353,0.1686746987951807,0.4430900070871723
includes_nonmanual,43,43,0.5882352941176471,0.2,0.38823529411764707
includes_nonmanual,43,44,0.6046511627906976,0.20512820512820512,0.3995229576624925
includes_nonmanual,44,42,0.611764705882353,0.24390243902439024,0.36786226685796275
includes_nonmanual,44,43,0.6190476190476191,0.1951219512195122,0.42392566782810687
includes_nonmanual,44,44,0.5714285714285714,0.23809523809523808,0.3333333333333333
sources_without_historical_train_val,42,42,0.43137254901960786,0.24,0.19137254901960787
sources_without_historical_train_val,42,43,0.43137254901960786,0.17777777777777778,0.25359477124183005
sources_without_historical_train_val,42,44,0.43137254901960786,0.26666666666666666,0.1647058823529412
sources_without_historical_train_val,43,42,0.43137254901960786,0.12244897959183673,0.3089235694277711
sources_without_historical_train_val,43,43,0.47058823529411764,0.20833333333333334,0.26225490196078427
sources_without_historical_train_val,43,44,0.47058823529411764,0.17391304347826086,0.2966751918158568
sources_without_historical_train_val,44,42,0.47058823529411764,0.16666666666666666,0.303921568627451
sources_without_historical_train_val,44,43,0.43137254901960786,0.2127659574468085,0.21860659157279935
sources_without_historical_train_val,44,44,0.43137254901960786,0.20833333333333334,0.22303921568627452
