subset,Policy,Phase,Comparison,N,N_sources,F1_A,F1_B,Delta,CI_low,CI_high,bootstrap_draws
includes_nonmanual,accepted,S,Stack minus PhaseNet Zonly,43,36,0.21067649545865363,0.22562699498404015,-0.014950499525386518,-0.10947106904525306,0.0721107202390974,10000
includes_nonmanual,strict,P,Stack Full3C minus Zonly,43,36,0.9425444596443229,0.9073719410244718,0.035172518619851045,0.0022672450622760495,0.09136274353665663,10000
includes_nonmanual,strict,P,PhaseNet Full3C minus Zonly,43,36,0.9302325581395349,0.9767441860465116,-0.046511627906976716,-0.09090909090909083,-0.008547008547008517,10000
includes_nonmanual,strict,P,Stack minus PhaseNet Full3C,43,36,0.9425444596443229,0.9302325581395349,0.012311901504788003,-0.08119775041799648,0.1011265982277008,10000
includes_nonmanual,strict,P,Stack minus PhaseNet Zonly,43,36,0.9073719410244718,0.9767441860465116,-0.06937224502203976,-0.16666666666666652,0.01920566001716182,10000
includes_nonmanual,strict,S,Stack Full3C minus Zonly,43,36,0.5958689671228413,0.21959873850277967,0.37627022862006165,0.23426702838395586,0.5273597797863764,10000
includes_nonmanual,strict,S,PhaseNet Full3C minus Zonly,43,36,0.7306088465359696,0.2203548085901027,0.5102540379458669,0.37956787966175004,0.6310399489043149,10000
includes_nonmanual,strict,S,Stack minus PhaseNet Full3C,43,36,0.5958689671228413,0.7306088465359696,-0.13473987941312826,-0.2838452264218847,0.004195159208981317,10000
includes_nonmanual,strict,S,Stack minus PhaseNet Zonly,43,36,0.21959873850277967,0.2203548085901027,-0.0007560700873230353,-0.09284337960870545,0.08270830117103802,10000
historical_test_records,accepted,P,Stack Full3C minus Zonly,51,48,0.7772169373800125,0.7484591988610627,0.028757738518949805,-6.734006733999376e-05,0.06553287981859401,10000
historical_test_records,accepted,P,PhaseNet Full3C minus Zonly,51,48,0.9934640522875817,0.9836277745421601,0.009836277745421618,0.0,0.030934479054779862,10000
historical_test_records,accepted,P,Stack minus PhaseNet Full3C,51,48,0.7772169373800125,0.9934640522875817,-0.2162471149075692,-0.33637217109065853,-0.10666666666666647,10000
historical_test_records,accepted,P,Stack minus PhaseNet Zonly,51,48,0.7484591988610627,0.9836277745421601,-0.2351685756810974,-0.362703353019481,-0.11862953225143924,10000
historical_test_records,accepted,S,Stack Full3C minus Zonly,51,48,0.5043344334433443,0.30114176169728246,0.20319267174606181,0.07118642741592678,0.3367641510541372,10000
historical_test_records,accepted,S,PhaseNet Full3C minus Zonly,51,48,0.5328104575163399,0.302483660130719,0.23032679738562095,0.10862324947404899,0.35647232830914455,10000
historical_test_records,accepted,S,Stack minus PhaseNet Full3C,51,48,0.5043344334433443,0.5328104575163399,-0.028476024072995654,-0.13042155636535024,0.0707975768833377,10000
historical_test_records,accepted,S,Stack minus PhaseNet Zonly,51,48,0.30114176169728246,0.302483660130719,-0.001341898433436517,-0.09357361694864991,0.08757054141906662,10000
