Component,MAE_ms,RMSE_ms,Bias_ms,SD_ms,DetectionRate,Precision_50ms,Recall_50ms,F1_50ms,Precision_100ms,Recall_100ms,F1_100ms,Precision_200ms,Recall_200ms,F1_200ms
P,206.238805970149,1970.51300237713,142.89552238806,1968.26490609083,1,0.719402985074627,1,0.836805555555556,0.86865671641791,1,0.929712460063898,0.925373134328358,1,0.961240310077519
S,947.859424920128,2310.17419090688,-15.0798722044731,2313.82413441693,0.934328358208955,0.182108626198083,0.721518987341772,0.290816326530612,0.335463258785943,0.826771653543307,0.477272727272727,0.482428115015974,0.872832369942196,0.621399176954732
