Method,Mode,Phase,Mean,SD,Seed42,Seed43,Seed44
Stack,Full3C,P,0.8693931830840398,0.007795365933302704,0.8679621325361235,0.8778049282600717,0.862412488455924
Stack,Full3C,S,0.5779683181648699,0.006409397598504486,0.5737025359316381,0.5748635853899012,0.5853388331730704
Stack,Zonly,P,0.8722787356297526,0.00604904869503618,0.8664002339118474,0.8784850039786122,0.8719509689987982
Stack,Zonly,S,0.33836965674005853,0.009586869771208434,0.32956847001379497,0.3369554064967644,0.34858509370961616
PhaseNetMatched,Full3C,P,0.9661051588899928,0.006719449407183799,0.9596412556053812,0.9656203288490284,0.9730538922155688
PhaseNetMatched,Full3C,S,0.626746506986028,0.018293715349125085,0.6467065868263473,0.6227544910179641,0.6107784431137725
PhaseNetMatched,Zonly,P,0.9636615130624903,0.008234897893466132,0.9596412556053812,0.9731343283582089,0.9582089552238806
PhaseNetMatched,Zonly,S,0.36889897335374094,0.01665643814092834,0.37668161434977576,0.38023952095808383,0.34977578475336324
