Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,335,332,246,89,89,0.734328358208955,0.734328358208955,0.734328358208955,1,205.940298507463,19.9999999999996,1959.44836891605,0.00895522388059702
P,100,335,335,332,291,44,44,0.86865671641791,0.86865671641791,0.86865671641791,1,205.940298507463,19.9999999999996,1959.44836891605,0.00895522388059702
P,200,335,335,332,310,25,25,0.925373134328358,0.925373134328358,0.925373134328358,1,205.940298507463,19.9999999999996,1959.44836891605,0.00895522388059702
S,50,335,313,248,59,254,276,0.188498402555911,0.176119402985075,0.182098765432099,0.934328358208955,961.054313099042,200.000000000001,2456.84484277491,0.156549520766773
S,100,335,313,248,110,203,225,0.351437699680511,0.328358208955224,0.339506172839506,0.934328358208955,961.054313099042,200.000000000001,2456.84484277491,0.156549520766773
S,200,335,313,248,158,155,177,0.504792332268371,0.471641791044776,0.487654320987654,0.934328358208955,961.054313099042,200.000000000001,2456.84484277491,0.156549520766773
