Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,334,327,247,87,88,0.739520958083832,0.737313432835821,0.738415545590433,0.997014925373134,104.071856287425,19.9999999999996,742.035152580166,0.00598802395209581
P,100,335,334,327,292,42,43,0.874251497005988,0.871641791044776,0.872944693572496,0.997014925373134,104.071856287425,19.9999999999996,742.035152580166,0.00598802395209581
P,200,335,334,327,315,19,20,0.94311377245509,0.940298507462687,0.94170403587444,0.997014925373134,104.071856287425,19.9999999999996,742.035152580166,0.00598802395209581
S,50,335,318,256,69,249,266,0.216981132075472,0.205970149253731,0.211332312404288,0.949253731343284,847.893081761006,185.000000000001,2281.26681952962,0.135220125786164
S,100,335,318,256,115,203,220,0.361635220125786,0.343283582089552,0.352220520673813,0.949253731343284,847.893081761006,185.000000000001,2281.26681952962,0.135220125786164
S,200,335,318,256,162,156,173,0.509433962264151,0.483582089552239,0.496171516079632,0.949253731343284,847.893081761006,185.000000000001,2281.26681952962,0.135220125786164
