Variant,Phase,Tolerance_ms,n_runs,F1_mean,F1_std,F1_min,F1_max,MAE_ms_mean,MedAE_ms_mean,delta_vs_control,delta_in_ctrl_sd
full15ch,P,50,3,0.695913106522381,0.00761607860960108,0.687593423019432,0.70254110612855,81.2583241924559,23.3333333333332,0,0
full15ch,P,100,3,0.862411201513266,0.00936923325358331,0.855007473841555,0.872944693572496,81.2583241924559,23.3333333333332,0,0
full15ch,P,200,3,0.923231265421325,0.00223486631612363,0.920777279521674,0.925149700598802,81.2583241924559,23.3333333333332,0,0
full15ch,S,50,3,0.395781323492167,0.0116186439616395,0.385542168674699,0.408408408408408,682.573699789101,73.3333333333335,0,0
full15ch,S,100,3,0.569123340207678,0.0157421231235321,0.55421686746988,0.585585585585586,682.573699789101,73.3333333333335,0,0
full15ch,S,200,3,0.697378100992559,0.0147331268850615,0.680722891566265,0.708708708708709,682.573699789101,73.3333333333335,0,0
probonly_12ch,P,50,3,0.705531693679326,0.00105460759622723,0.704477611940298,0.706586826347305,110.608248520216,19.9999999999996,0.00961858715694452,1.26293170672096
probonly_12ch,P,100,3,0.856994326275054,0.00625415876493397,0.850299401197605,0.862686567164179,110.608248520216,19.9999999999996,-0.00541687523821233,-0.578155660298095
probonly_12ch,P,200,3,0.920774180171883,0.00404848504120462,0.916167664670659,0.923766816143498,110.608248520216,19.9999999999996,-0.00245708524944177,-1.0994327632552
probonly_12ch,S,50,3,0.388552966221159,0.0121040131976104,0.377073906485671,0.401197604790419,871.10928526714,73.3333333333335,-0.00722835727100751,-0.622134329520114
probonly_12ch,S,100,3,0.571856667136695,0.0093099478644608,0.565868263473054,0.582582582582583,871.10928526714,73.3333333333335,0.00273332692901762,0.173631403309997
probonly_12ch,S,200,3,0.694020571089962,0.0082485725196161,0.684766214177979,0.70059880239521,871.10928526714,73.3333333333335,-0.00335752990259708,-0.22788983823939
waveonly_3ch,P,50,3,0.668342524996221,0.0055152798397289,0.662668665667166,0.673684210526316,180.823289288683,19.9999999999996,-0.0275705815261602,-3.62004949520923
waveonly_3ch,P,100,3,0.831676289765254,0.0102056843921324,0.824587706146927,0.843373493975904,180.823289288683,19.9999999999996,-0.0307349117480121,-3.28040843003427
waveonly_3ch,P,200,3,0.911834883355496,0.00863994838903719,0.905547226386807,0.921686746987952,180.823289288683,19.9999999999996,-0.0113963820658289,-5.09935739046617
waveonly_3ch,S,50,3,0.363726955655207,0.0153411104318293,0.34678624813154,0.376681614349776,984.930139720559,80.0000000000001,-0.0320543678369601,-2.75887340577712
waveonly_3ch,S,100,3,0.548081714000996,0.00456659262078318,0.544095665171898,0.553064275037369,984.930139720559,80.0000000000001,-0.0210416262066812,-1.33664474871418
waveonly_3ch,S,200,3,0.650722471350274,0.00690403909344842,0.642750373692078,0.654708520179372,984.930139720559,80.0000000000001,-0.0466556296422849,-3.16671606823605
nodilation,P,50,3,0.684603886397608,0.00597907324364727,0.678624813153961,0.690582959641256,81.566866267465,29.9999999999996,-0.0113092201247729,-1.4849137862779
nodilation,P,100,3,0.841056302939711,0.0104989075763355,0.831091180866966,0.852017937219731,81.566866267465,29.9999999999996,-0.0213548985735553,-2.27925786407207
nodilation,P,200,3,0.923766816143498,0.00517802932008634,0.917787742899851,0.926756352765321,81.566866267465,29.9999999999996,0.000535550722173039,0.239634343365088
nodilation,S,50,3,0.377440022503718,0.0111191463951478,0.368263473053892,0.389805097451274,985.004341691089,73.3333333333335,-0.0183413009884486,-1.57860943574869
nodilation,S,100,3,0.570144568434346,0.00154250833024264,0.568862275449102,0.57185628742515,985.004341691089,73.3333333333335,0.00102122822666806,0.0648723313020897
nodilation,S,200,3,0.677981368597139,0.00415023308250023,0.674662668665667,0.682634730538922,985.004341691089,73.3333333333335,-0.0193967323954203,-1.31653874610198
logistic,P,50,1,0.651718983557549,0,0.651718983557549,0.651718983557549,134.520958083832,30.0000000000002,-0.0441941229648327,-5.80273986525298
logistic,P,100,1,0.801195814648729,0,0.801195814648729,0.801195814648729,134.520958083832,30.0000000000002,-0.0612153868645369,-6.53366024814514
logistic,P,200,1,0.905829596412556,0,0.905829596412556,0.905829596412556,134.520958083832,30.0000000000002,-0.0174016690087686,-7.78644739652784
logistic,S,50,1,0.0449775112443778,0,0.0449775112443778,0.0449775112443778,4954.60843373494,4685,-0.350803812247789,-30.1931803234538
logistic,S,100,1,0.0539730134932534,0,0.0539730134932534,0.0539730134932534,4954.60843373494,4685,-0.515150326714424,-32.7243233121683
logistic,S,200,1,0.0689655172413793,0,0.0689655172413793,0.0689655172413793,4954.60843373494,4685,-0.628412583751179,-42.6530354794101
