Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
P,50,335,333,333,247,86,88,0.741741741741742,0.737313432835821,0.739520958083832,0.994029850746269,69.2792792792793,20.0000000000005,295.82936807392,0.003003003003003
P,100,335,333,333,289,44,46,0.867867867867868,0.862686567164179,0.865269461077844,0.994029850746269,69.2792792792793,20.0000000000005,295.82936807392,0.003003003003003
P,200,335,333,333,314,19,21,0.942942942942943,0.937313432835821,0.940119760479042,0.994029850746269,69.2792792792793,20.0000000000005,295.82936807392,0.003003003003003
S,50,335,302,242,57,245,278,0.188741721854305,0.170149253731343,0.178963893249608,0.901492537313433,1019.33774834437,215,2666.37922015893,0.155629139072848
S,100,335,302,242,107,195,228,0.354304635761589,0.319402985074627,0.335949764521193,0.901492537313433,1019.33774834437,215,2666.37922015893,0.155629139072848
S,200,335,302,242,149,153,186,0.493377483443709,0.444776119402985,0.467817896389325,0.901492537313433,1019.33774834437,215,2666.37922015893,0.155629139072848
