event_id,source_id,file_name,experiment,case_type,component,rank,p_error_ms,s_error_ms,p_status,s_status,SNR,source_magnitude,source_distance_km,figure_file
stead_event_01107,14843868,stead_event_01107.csv,Zonly,S_outlier,S,11,-9.99999999999979,-6710,detected,detected,53.20000076,NaN,NaN,failure_Zonly_S_outlier_rank11_stead_event_01107_csv.png
stead_event_00688,hv61383356,stead_event_00688.csv,Zonly,S_outlier,S,12,0,6560,detected,uncertain,47.29999924,NaN,NaN,failure_Zonly_S_outlier_rank12_stead_event_00688_csv.png
stead_event_01460,nc71606825,stead_event_01460.csv,Zonly,S_outlier,S,13,0,-6420,detected,uncertain,47.79999924,NaN,NaN,failure_Zonly_S_outlier_rank13_stead_event_01460_csv.png
stead_event_02036,nc72447356,stead_event_02036.csv,Zonly,S_outlier,S,14,-9.99999999999979,5980,detected,uncertain,32.40000153,NaN,NaN,failure_Zonly_S_outlier_rank14_stead_event_02036_csv.png
stead_event_01470,nc71680150,stead_event_01470.csv,Zonly,S_outlier,S,15,9.99999999999979,5890,detected,uncertain,46.5,NaN,NaN,failure_Zonly_S_outlier_rank15_stead_event_01470_csv.png
stead_event_01045,14835964,stead_event_01045.csv,Zonly,S_outlier,S,16,0,4810,detected,uncertain,45.70000076,NaN,NaN,failure_Zonly_S_outlier_rank16_stead_event_01045_csv.png
stead_event_01968,nc72603475,stead_event_01968.csv,Zonly,S_outlier,S,17,-9.99999999999979,-4770,detected,detected,43,NaN,NaN,failure_Zonly_S_outlier_rank17_stead_event_01968_csv.png
stead_event_01102,12582975,stead_event_01102.csv,Zonly,S_outlier,S,18,109.999999999999,4660,detected,uncertain,49.40000153,NaN,NaN,failure_Zonly_S_outlier_rank18_stead_event_01102_csv.png
stead_event_00929,hv61416591,stead_event_00929.csv,Zonly,S_outlier,S,19,550,4620,detected,uncertain,35.09999847,NaN,NaN,failure_Zonly_S_outlier_rank19_stead_event_00929_csv.png
stead_event_00395,hv61387541,stead_event_00395.csv,Zonly,S_outlier,S,20,19.9999999999996,4510,detected,detected,20.5,NaN,NaN,failure_Zonly_S_outlier_rank20_stead_event_00395_csv.png
